timestamp,dt,pos_x_0,pos_y_0,pos_z_0,vel_x_0,vel_y_0,vel_z_0,roll_0,pitch_0,yaw_0,agv_x_0,agv_y_0,agv_z_0,x_ref_0,y_ref_0,z_ref_0,roll_ref_0,pitch_ref_0,yaw_ref_0,x_vel_ref_0,y_vel_ref_0,z_vel_ref_0,agv_x_ref_0,agv_y_ref_0,agv_z_ref_0
330,330,0.013686416670680046,0.0049902210012078285,0.042629778385162354,0.005363805685192347,-0.005750207230448723,0.00018286023987457156,0.014665583148598671,0.03960040211677551,0.15007369220256805,-0.46802064776420593,0.14508093893527985,0.6527805328369141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0022573471069336,1.0057075023651123,0.2935274541378021,-362.4125671386719
466,136,0.01399056427180767,0.004731068853288889,0.04255785048007965,-0.0021509553771466017,-0.010456297546625137,0.003906303085386753,0.006340443156659603,0.04634907469153404,0.13609378039836884,-1.0053142309188843,2.6156134605407715,-0.5199229717254639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9142467975616455,1.0169044733047485,0.32468777894973755,-346.4824523925781
575,109,0.014033157378435135,0.004603115376085043,0.0425473228096962,-0.000778083922341466,0.002325461246073246,0.002821087371557951,0.007302341982722282,0.031476326286792755,0.14407527446746826,-0.00909958966076374,0.07451791316270828,-0.07426639646291733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6002298593521118,0.9414461255073547,0.4049951434135437,-289.644775390625
685,110,0.013964435085654259,0.004428702872246504,0.042601894587278366,-0.017618322744965553,-0.00408310629427433,0.010787993669509888,0.01624321937561035,0.023822063580155373,0.12926296889781952,1.2236496210098267,0.5906448364257812,-0.09416308999061584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609297513961792,1.046541690826416,0.45369958877563477,-292.4859619140625
700,15,0.013959044590592384,0.00440348731353879,0.04263237118721008,-0.002618293045088649,-0.0008309316472150385,0.002931304508820176,0.020882532000541687,0.024370376020669937,0.12849918007850647,0.7259212732315063,-0.6553851366043091,0.11923334747552872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2455631494522095,1.4282037019729614,0.8332456350326538,-234.7030029296875
849,148,0.014025283046066761,0.003538999706506729,0.042476896196603775,-0.0014052006881684065,0.0001997669314732775,0.005183625966310501,0.0008977388497442007,0.0035349891986697912,0.10756842792034149,0.7311000823974609,0.19481666386127472,0.22281567752361298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1893075704574585,1.4810694456100464,0.859811544418335,-215.2670440673828
864,16,0.014056086540222168,0.003448478179052472,0.04234853386878967,0.0008675245917402208,-0.008592043071985245,-0.009409166872501373,-0.020080534741282463,0.018749766051769257,0.10174506902694702,-2.584627151489258,2.538450241088867,-0.6690122485160828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0604158639907837,1.5754895210266113,0.9258537292480469,-191.93736267089844
880,16,0.014038119465112686,0.003519523423165083,0.04238083213567734,0.0022769575007259846,0.002584833651781082,-0.0037230232264846563,-0.016300152987241745,0.017650293186306953,0.10158824920654297,-0.47773420810699463,0.22735239565372467,-0.547554612159729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9200432896614075,1.6349655389785767,0.9851936101913452,-179.05934143066406
896,16,0.013983174227178097,0.003540102858096361,0.04249115288257599,-0.0013998267240822315,0.001637117238715291,-0.0002887479786295444,0.007921910844743252,-0.0034523289650678635,0.11203401535749435,0.5815401673316956,-0.8011340498924255,0.17998459935188293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838036060333252,1.7390434741973877,1.153282642364502,-151.68618774414062
911,16,0.013976507820189,0.0035432272125035524,0.04241350293159485,0.005281426478177309,0.0013948451960459352,-0.012166621163487434,-0.006141753401607275,0.007638255134224892,0.10827430337667465,-2.3411457538604736,1.4726985692977905,-0.9907592535018921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6352203488349915,1.8598861694335938,1.2939119338989258,-114.97615814208984
